|    0 |    1 |    2 |    3 |    4 |    5 |
|  328 |  137 |  328 |  132 |  324 |  135 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  326 |  137 |  326 |  133 |  323 |  134 |
|  322 |  135 |  323 |  132 |  321 |  134 |
|  323 |  136 |  324 |  131 |  320 |  133 |
|  331 |  138 |  330 |  134 |  326 |  135 |
|  328 |  137 |  328 |  133 |  324 |  134 |
|  335 |  140 |  335 |  136 |  329 |  136 |
|  330 |  138 |  328 |  133 |  324 |  135 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  327 |  137 |  328 |  133 |  323 |  134 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  325 |  136 |  325 |  132 |  321 |  133 |
|  326 |  137 |  326 |  133 |  323 |  134 |
|  326 |  136 |  326 |  132 |  322 |  134 |
|  325 |  136 |  324 |  132 |  321 |  133 |
|  325 |  136 |  326 |  132 |  322 |  134 |
|  324 |  136 |  325 |  132 |  321 |  134 |
|  325 |  136 |  324 |  132 |  321 |  133 |
|  326 |  136 |  325 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  323 |  132 |  321 |  133 |
|  324 |  136 |  323 |  131 |  320 |  133 |
|  328 |  137 |  328 |  133 |  325 |  135 |
|  327 |  137 |  326 |  132 |  323 |  134 |
|  326 |  136 |  326 |  132 |  324 |  133 |
|  326 |  137 |  326 |  132 |  323 |  134 |
|  326 |  136 |  326 |  132 |  323 |  134 |
|  323 |  134 |  322 |  131 |  320 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  135 |  324 |  132 |  321 |  134 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  327 |  137 |  326 |  133 |  323 |  134 |
|  322 |  135 |  322 |  131 |  320 |  133 |
|  327 |  137 |  327 |  133 |  324 |  134 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  321 |  135 |  321 |  131 |  319 |  132 |
|  322 |  135 |  321 |  131 |  318 |  132 |
|  322 |  135 |  321 |  131 |  319 |  132 |
|  321 |  134 |  321 |  131 |  319 |  132 |
|  325 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  325 |  132 |  322 |  133 |
|  323 |  135 |  323 |  131 |  320 |  132 |
|  323 |  135 |  322 |  131 |  318 |  132 |
|  320 |  134 |  320 |  130 |  317 |  131 |
|  322 |  135 |  321 |  130 |  317 |  132 |
|  322 |  135 |  322 |  131 |  319 |  132 |
|  322 |  135 |  322 |  131 |  320 |  132 |
|  321 |  134 |  321 |  130 |  317 |  131 |
|  320 |  134 |  321 |  131 |  319 |  132 |
